Bulbasaur:Bulbasaur(1), Grass/Poison Type, HP 45, Attack 49, Defense 49, Sp. Attack 65, Sp. Defense 65, Speed 45§
Gliscor:Gliscor(472), Ground/Flying Type, HP 75, Attack 95, Defense 125, Sp. Attack 45, Sp. Defense 75, Speed 95§
Mamoswine:Mamoswine(473), Ice/Ground Type, HP 110, Attack 130, Defense 80, Sp. Attack 70, Sp. Defense 60, Speed 80§
Porygon-Z:Porygon-Z(474), Normal Type, HP 85, Attack 80, Defense 70, Sp. Attack 135, Sp. Defense 75, Speed 90§
Gallade:Gallade(475), Psychic/Fighting Type, HP 68, Attack 125, Defense 65, Sp. Attack 65, Sp. Defense 115, Speed 80§
Probopass:Probopass(476), Rock/Steel Type, HP 60, Attack 55, Defense 145, Sp. Attack 75, Sp. Defense 150, Speed 40§
Dusknoir:Dusknoir(477), Ghost Type, HP 45, Attack 100, Defense 135, Sp. Attack 65, Sp. Defense 135, Speed 45§
Froslass:Froslass(478), Ice/Ghost Type, HP 70, Attack 80, Defense 70, Sp. Attack 80, Sp. Defense 70, Speed 110§
Rotom:Rotom(479), Electric/Ghost Type, HP 50, Attack 50, Defense 77, Sp. Attack 95, Sp. Defense 77, Speed 91§
Uxie:Uxie(480), Psychic Type, HP 75, Attack 75, Defense 130, Sp. Attack 75, Sp. Defense 130, Speed 95§
Mesprit:Mesprit(481), Psychic Type, HP 80, Attack 105, Defense 105, Sp. Attack 105, Sp. Defense 105, Speed 80§
Azelf:Azelf(482), Psychic Type, HP 75, Attack 125, Defense 70, Sp. Attack 125, Sp. Defense 70, Speed 115§
Dialga:Dialga(483), Steel/Dragon Type, HP 100, Attack 120, Defense 120, Sp. Attack 150, Sp. Defense 100, Speed 90§
Palkia:Palkia(484), Water/Dragon Type, HP 90, Attack 120, Defense 100, Sp. Attack 150, Sp. Defense 120, Speed 100§
Heatran:Heatran(485), Fire/Steel Type, HP 91, Attack 90, Defense 106, Sp. Attack 130, Sp. Defense 106, Speed 77§
Regigigas:Regigigas(486), Normal Type, HP 110, Attack 160, Defense 110, Sp. Attack 80, Sp. Defense 110, Speed 100§
Giratina:Giratina(487), Ghost/Dragon Type, HP 150, Attack 100, Defense 120, Sp. Attack 100, Sp. Defense 120, Speed 90§
Cresselia:Cresselia(488), Psychic Type, HP 120, Attack 70, Defense 110, Sp. Attack 75, Sp. Defense 120, Speed 85§
Phione:Phione(489), Water Type, HP 80, Attack 80, Defense 80, Sp. Attack 80, Sp. Defense 80, Speed 80§
Manaphy:Manaphy(490), Water Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
Darkrai:Darkrai(491), Dark Type, HP 70, Attack 90, Defense 90, Sp. Attack 135, Sp. Defense 90, Speed 125§
Shaymin:Shaymin(492), Grass Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
Arceus:Arceus(493), Normal Type, HP 120, Attack 120, Defense 120, Sp. Attack 120, Sp. Defense 120, Speed 120§
Victini:Victini(494), Psychic/Fire Type, HP 100, Attack 100, Defense 100, Sp. Attack 100, Sp. Defense 100, Speed 100§
Snivy:Snivy(495), Grass Type, HP 45, Attack 45, Defense 55, Sp. Attack 45, Sp. Defense 55, Speed 63§
Servine:Servine(496), Grass Type, HP 60, Attack 60, Defense 75, Sp. Attack 60, Sp. Defense 75, Speed 83§
Serperior:Serperior(497), Grass Type, HP 75, Attack 75, Defense 95, Sp. Attack 75, Sp. Defense 95, Speed 113§
Tepig:Tepig(498), Fire Type, HP 65, Attack 63, Defense 45, Sp. Attack 45, Sp. Defense 45, Speed 45§
Pignite:Pignite(499), Fire/Fighting Type, HP 90, Attack 93, Defense 55, Sp. Attack 70, Sp. Defense 55, Speed 55§
Emboar:Emboar(500), Fire/Fighting Type, HP 110, Attack 123, Defense 65, Sp. Attack 100, Sp. Defense 65, Speed 65§
Oshawott:Oshawott(501), Water Type, HP 55, Attack 55, Defense 45, Sp. Attack 63, Sp. Defense 45, Speed 45§
Dewott:Dewott(502), Water Type, HP 75, Attack 75, Defense 60, Sp. Attack 83, Sp. Defense 60, Speed 60§
Samurott:Samurott(503), Water Type, HP 95, Attack 100, Defense 85, Sp. Attack 108, Sp. Defense 70, Speed 70§
Patrat:Patrat(504), Normal Type, HP 45, Attack 55, Defense 39, Sp. Attack 35, Sp. Defense 39, Speed 42§
Watchog:Watchog(505), Normal Type, HP 60, Attack 85, Defense 69, Sp. Attack 60, Sp. Defense 69, Speed 77§
Lillipup:Lillipup(506), Normal Type, HP 45, Attack 60, Defense 45, Sp. Attack 25, Sp. Defense 45, Speed 55§
Herdier:Herdier(507), Normal Type, HP 65, Attack 80, Defense 65, Sp. Attack 35, Sp. Defense 65, Speed 60§
Stoutland:Stoutland(508), Normal Type, HP 85, Attack 110, Defense 90, Sp. Attack 45, Sp. Defense 90, Speed 80§
Purrloin:Purrloin(509), Dark Type, HP 41, Attack 50, Defense 37, Sp. Attack 50, Sp. Defense 37, Speed 66§
Liepard:Liepard(510), Dark Type, HP 64, Attack 88, Defense 50, Sp. Attack 88, Sp. Defense 50, Speed 106§
Pansage:Pansage(511), Grass Type, HP 50, Attack 53, Defense 48, Sp. Attack 53, Sp. Defense 48, Speed 64§
Simisage:Simisage(512), Grass Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
Pansear:Pansear(513), Fire Type, HP 50, Attack 53, Defense 48, Sp. Attack 53, Sp. Defense 48, Speed 64§
Simisear:Simisear(514), Fire Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
Panpour:Panpour(515), Water Type, HP 50, Attack 53, Defense 48, Sp. Attack 53, Sp. Defense 48, Speed 64§
Simipour:Simipour(516), Water Type, HP 75, Attack 98, Defense 63, Sp. Attack 98, Sp. Defense 63, Speed 101§
Munna:Munna(517), Psychic Type, HP 76, Attack 25, Defense 45, Sp. Attack 67, Sp. Defense 55, Speed 24§
Musharna:Musharna(518), Psychic Type, HP 116, Attack 55, Defense 85, Sp. Attack 107, Sp. Defense 95, Speed 29§
Pidove:Pidove(519), Normal/Flying Type, HP 50, Attack 55, Defense 50, Sp. Attack 36, Sp. Defense 30, Speed 43§
Tranquill:Tranquill(520), Normal/Flying Type, HP 62, Attack 77, Defense 62, Sp. Attack 50, Sp. Defense 42, Speed 65§
Unfezant:Unfezant(521), Normal/Flying Type, HP 80, Attack 115, Defense 80, Sp. Attack 65, Sp. Defense 55, Speed 93§
Blitzle:Blitzle(522), Electric Type, HP 45, Attack 60, Defense 32, Sp. Attack 50, Sp. Defense 32, Speed 76§
Zebstrika:Zebstrika(523), Electric Type, HP 75, Attack 100, Defense 63, Sp. Attack 80, Sp. Defense 63, Speed 116§
Roggenrola:Roggenrola(524), Rock Type, HP 55, Attack 75, Defense 85, Sp. Attack 25, Sp. Defense 25, Speed 15§
Boldore:Boldore(525), Rock Type, HP 70, Attack 105, Defense 105, Sp. Attack 50, Sp. Defense 40, Speed 20§
Gigalith:Gigalith(526), Rock Type, HP 85, Attack 135, Defense 130, Sp. Attack 60, Sp. Defense 80, Speed 25§
Woobat:Woobat(527), Psychic/Flying Type, HP 65, Attack 45, Defense 43, Sp. Attack 55, Sp. Defense 43, Speed 72§
Swoobat:Swoobat(528), Psychic/Flying Type, HP 67, Attack 57, Defense 55, Sp. Attack 77, Sp. Defense 55, Speed 114§
Drilbur:Drilbur(529), Ground Type, HP 60, Attack 85, Defense 40, Sp. Attack 30, Sp. Defense 45, Speed 68§
Excadrill:Excadrill(530), Ground/Steel Type, HP 110, Attack 135, Defense 60, Sp. Attack 50, Sp. Defense 65, Speed 88§
Audino:Audino(531), Normal Type, HP 103, Attack 60, Defense 86, Sp. Attack 60, Sp. Defense 86, Speed 50§
Timburr:Timburr(532), Fighting Type, HP 75, Attack 80, Defense 55, Sp. Attack 25, Sp. Defense 35, Speed 35§
Gurdurr:Gurdurr(533), Fighting Type, HP 85, Attack 105, Defense 85, Sp. Attack 40, Sp. Defense 50, Speed 40§
Conkeldurr:Conkeldurr(534), Fighting Type, HP 105, Attack 140, Defense 95, Sp. Attack 55, Sp. Defense 65, Speed 45§
Tympole:Tympole(535), Water Type, HP 50, Attack 50, Defense 40, Sp. Attack 50, Sp. Defense 40, Speed 64§
Palpitoad:Palpitoad(536), Water/Ground Type, HP 75, Attack 65, Defense 55, Sp. Attack 65, Sp. Defense 55, Speed 69§
Seismitoad:Seismitoad(537), Water/Ground Type, HP 105, Attack 95, Defense 75, Sp. Attack 85, Sp. Defense 75, Speed 74§
Throh:Throh(538), Fighting Type, HP 120, Attack 100, Defense 85, Sp. Attack 30, Sp. Defense 85, Speed 45§
Sawk:Sawk(539), Fighting Type, HP 75, Attack 125, Defense 75, Sp. Attack 30, Sp. Defense 75, Speed 85§
Sewaddle:Sewaddle(540), Bug/Grass Type, HP 45, Attack 53, Defense 70, Sp. Attack 40, Sp. Defense 60, Speed 42§
Swadloon:Swadloon(541), Bug/Grass Type, HP 55, Attack 63, Defense 90, Sp. Attack 50, Sp. Defense 80, Speed 42§
Leavanny:Leavanny(542), Bug/Grass Type, HP 75, Attack 103, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 92§
Venipede:Venipede(543), Bug/Poison Type, HP 30, Attack 45, Defense 59, Sp. Attack 30, Sp. Defense 39, Speed 57§
Whirlipede:Whirlipede(544), Bug/Poison Type, HP 40, Attack 55, Defense 99, Sp. Attack 40, Sp. Defense 79, Speed 47§
Scolipede:Scolipede(545), Bug/Poison Type, HP 60, Attack 100, Defense 89, Sp. Attack 55, Sp. Defense 69, Speed 112§
Cottonee:Cottonee(546), Grass/Fairy Type, HP 40, Attack 27, Defense 60, Sp. Attack 37, Sp. Defense 50, Speed 66§
Whimsicott:Whimsicott(547), Grass/Fairy Type, HP 60, Attack 67, Defense 85, Sp. Attack 77, Sp. Defense 75, Speed 116§
Petilil:Petilil(548), Grass Type, HP 45, Attack 35, Defense 50, Sp. Attack 70, Sp. Defense 50, Speed 30§
Lilligant:Lilligant(549), Grass Type, HP 70, Attack 60, Defense 75, Sp. Attack 110, Sp. Defense 75, Speed 90§
Basculin:Basculin(550), Water Type, HP 70, Attack 92, Defense 65, Sp. Attack 80, Sp. Defense 55, Speed 98§
Sandile:Sandile(551), Ground/Dark Type, HP 50, Attack 72, Defense 35, Sp. Attack 35, Sp. Defense 35, Speed 65§
Krokorok:Krokorok(552), Ground/Dark Type, HP 60, Attack 82, Defense 45, Sp. Attack 45, Sp. Defense 45, Speed 74§
Krookodile:Krookodile(553), Ground/Dark Type, HP 95, Attack 117, Defense 80, Sp. Attack 65, Sp. Defense 70, Speed 92§
Darumaka:Darumaka(554), Fire Type, HP 70, Attack 90, Defense 45, Sp. Attack 15, Sp. Defense 45, Speed 50§
Darmanitan:Darmanitan(555), Fire Type, HP 105, Attack 140, Defense 55, Sp. Attack 30, Sp. Defense 55, Speed 95§
Maractus:Maractus(556), Grass Type, HP 75, Attack 86, Defense 67, Sp. Attack 106, Sp. Defense 67, Speed 60§
Dwebble:Dwebble(557), Bug/Rock Type, HP 50, Attack 65, Defense 85, Sp. Attack 35, Sp. Defense 35, Speed 55§
Crustle:Crustle(558), Bug/Rock Type, HP 70, Attack 105, Defense 125, Sp. Attack 65, Sp. Defense 75, Speed 45§
Scraggy:Scraggy(559), Dark/Fighting Type, HP 50, Attack 75, Defense 70, Sp. Attack 35, Sp. Defense 70, Speed 48§
Scrafty:Scrafty(560), Dark/Fighting Type, HP 65, Attack 90, Defense 115, Sp. Attack 45, Sp. Defense 115, Speed 58§
Sigilyph:Sigilyph(561), Psychic/Flying Type, HP 72, Attack 58, Defense 80, Sp. Attack 103, Sp. Defense 80, Speed 97§
Yamask:Yamask(562), Ghost Type, HP 38, Attack 30, Defense 85, Sp. Attack 55, Sp. Defense 65, Speed 30§
Cofagrigus:Cofagrigus(563), Ghost Type, HP 58, Attack 50, Defense 145, Sp. Attack 95, Sp. Defense 105, Speed 30§
Tirtouga:Tirtouga(564), Water/Rock Type, HP 54, Attack 78, Defense 103, Sp. Attack 53, Sp. Defense 45, Speed 22§
Carracosta:Carracosta(565), Water/Rock Type, HP 74, Attack 108, Defense 133, Sp. Attack 83, Sp. Defense 65, Speed 32§
Archen:Archen(566), Rock/Flying Type, HP 55, Attack 112, Defense 45, Sp. Attack 74, Sp. Defense 45, Speed 70§
Archeops:Archeops(567), Rock/Flying Type, HP 75, Attack 140, Defense 65, Sp. Attack 112, Sp. Defense 65, Speed 110§
Trubbish:Trubbish(568), Poison Type, HP 50, Attack 50, Defense 62, Sp. Attack 40, Sp. Defense 62, Speed 65§
Garbodor:Garbodor(569), Poison Type, HP 80, Attack 95, Defense 82, Sp. Attack 60, Sp. Defense 82, Speed 75§
Zorua:Zorua(570), Dark Type, HP 40, Attack 65, Defense 40, Sp. Attack 80, Sp. Defense 40, Speed 65§
Zoroark:Zoroark(571), Dark Type, HP 60, Attack 105, Defense 60, Sp. Attack 120, Sp. Defense 60, Speed 105§
Minccino:Minccino(572), Normal Type, HP 55, Attack 50, Defense 40, Sp. Attack 40, Sp. Defense 40, Speed 75§
Cinccino:Cinccino(573), Normal Type, HP 75, Attack 95, Defense 60, Sp. Attack 65, Sp. Defense 60, Speed 115§
Gothita:Gothita(574), Psychic Type, HP 45, Attack 30, Defense 50, Sp. Attack 55, Sp. Defense 65, Speed 45§
Gothorita:Gothorita(575), Psychic Type, HP 60, Attack 45, Defense 70, Sp. Attack 75, Sp. Defense 85, Speed 55§
Gothitelle:Gothitelle(576), Psychic Type, HP 70, Attack 55, Defense 95, Sp. Attack 95, Sp. Defense 110, Speed 65§
Solosis:Solosis(577), Psychic Type, HP 45, Attack 30, Defense 40, Sp. Attack 105, Sp. Defense 50, Speed 20§
Duosion:Duosion(578), Psychic Type, HP 65, Attack 40, Defense 50, Sp. Attack 125, Sp. Defense 60, Speed 30§
Reuniclus:Reuniclus(579), Psychic Type, HP 110, Attack 65, Defense 75, Sp. Attack 125, Sp. Defense 85, Speed 30§
Ducklett:Ducklett(580), Water/Flying Type, HP 62, Attack 44, Defense 50, Sp. Attack 44, Sp. Defense 50, Speed 55§
Swanna:Swanna(581), Water/Flying Type, HP 75, Attack 87, Defense 63, Sp. Attack 87, Sp. Defense 63, Speed 98§
Vanillite:Vanillite(582), Ice Type, HP 36, Attack 50, Defense 50, Sp. Attack 65, Sp. Defense 60, Speed 44§
Vanillish:Vanillish(583), Ice Type, HP 51, Attack 65, Defense 65, Sp. Attack 80, Sp. Defense 75, Speed 59§
Vanilluxe:Vanilluxe(584), Ice Type, HP 71, Attack 95, Defense 85, Sp. Attack 110, Sp. Defense 95, Speed 79§
Deerling:Deerling(585), Normal/Grass Type, HP 60, Attack 60, Defense 50, Sp. Attack 40, Sp. Defense 50, Speed 75§
Sawsbuck:Sawsbuck(586), Normal/Grass Type, HP 80, Attack 100, Defense 70, Sp. Attack 60, Sp. Defense 70, Speed 95§
Emolga:Emolga(587), Electric/Flying Type, HP 55, Attack 75, Defense 60, Sp. Attack 75, Sp. Defense 60, Speed 103§
Karrablast:Karrablast(588), Bug Type, HP 50, Attack 75, Defense 45, Sp. Attack 40, Sp. Defense 45, Speed 60§
Escavalier:Escavalier(589), Bug/Steel Type, HP 70, Attack 135, Defense 105, Sp. Attack 60, Sp. Defense 105, Speed 20§
Foongus:Foongus(590), Grass/Poison Type, HP 69, Attack 55, Defense 45, Sp. Attack 55, Sp. Defense 55, Speed 15§
Amoonguss:Amoonguss(591), Grass/Poison Type, HP 114, Attack 85, Defense 70, Sp. Attack 85, Sp. Defense 80, Speed 30§
Frillish:Frillish(592), Water/Ghost Type, HP 55, Attack 40, Defense 50, Sp. Attack 65, Sp. Defense 85, Speed 40§
Jellicent:Jellicent(593), Water/Ghost Type, HP 100, Attack 60, Defense 70, Sp. Attack 85, Sp. Defense 105, Speed 60§
Alomomola:Alomomola(594), Water Type, HP 165, Attack 75, Defense 80, Sp. Attack 40, Sp. Defense 45, Speed 65§
Joltik:Joltik(595), Bug/Electric Type, HP 50, Attack 47, Defense 50, Sp. Attack 57, Sp. Defense 50, Speed 65§
Galvantula:Galvantula(596), Bug/Electric Type, HP 70, Attack 77, Defense 60, Sp. Attack 97, Sp. Defense 60, Speed 108§
Ferroseed:Ferroseed(597), Grass/Steel Type, HP 44, Attack 50, Defense 91, Sp. Attack 24, Sp. Defense 86, Speed 10§
Ferrothorn:Ferrothorn(598), Grass/Steel Type, HP 74, Attack 94, Defense 131, Sp. Attack 54, Sp. Defense 116, Speed 20§
Klink:Klink(599), Steel Type, HP 40, Attack 55, Defense 70, Sp. Attack 45, Sp. Defense 60, Speed 30§
Klang:Klang(600), Steel Type, HP 60, Attack 80, Defense 95, Sp. Attack 70, Sp. Defense 85, Speed 50§
Klinklang:Klinklang(601), Steel Type, HP 60, Attack 100, Defense 115, Sp. Attack 70, Sp. Defense 85, Speed 90§
Tynamo:Tynamo(602), Electric Type, HP 35, Attack 55, Defense 40, Sp. Attack 45, Sp. Defense 40, Speed 60§
Eelektrik:Eelektrik(603), Electric Type, HP 65, Attack 85, Defense 70, Sp. Attack 75, Sp. Defense 70, Speed 40§
Eelektross:Eelektross(604), Electric Type, HP 85, Attack 115, Defense 80, Sp. Attack 105, Sp. Defense 80, Speed 50§
Elgyem:Elgyem(605), Psychic Type, HP 55, Attack 55, Defense 55, Sp. Attack 85, Sp. Defense 55, Speed 30§
Beheeyem:Beheeyem(606), Psychic Type, HP 75, Attack 75, Defense 75, Sp. Attack 125, Sp. Defense 95, Speed 40§
Litwick:Litwick(607), Ghost/Fire Type, HP 50, Attack 30, Defense 55, Sp. Attack 65, Sp. Defense 55, Speed 20§
Lampent:Lampent(608), Ghost/Fire Type, HP 60, Attack 40, Defense 60, Sp. Attack 95, Sp. Defense 60, Speed 55§
Chandelure:Chandelure(609), Ghost/Fire Type, HP 60, Attack 55, Defense 90, Sp. Attack 145, Sp. Defense 90, Speed 80§
Axew:Axew(610), Dragon Type, HP 46, Attack 87, Defense 60, Sp. Attack 30, Sp. Defense 40, Speed 57§
Fraxure:Fraxure(611), Dragon Type, HP 66, Attack 117, Defense 70, Sp. Attack 40, Sp. Defense 50, Speed 67§
Haxorus:Haxorus(612), Dragon Type, HP 76, Attack 147, Defense 90, Sp. Attack 60, Sp. Defense 70, Speed 97§
Cubchoo:Cubchoo(613), Ice Type, HP 55, Attack 70, Defense 40, Sp. Attack 60, Sp. Defense 40, Speed 40§
Beartic:Beartic(614), Ice Type, HP 95, Attack 130, Defense 80, Sp. Attack 70, Sp. Defense 80, Speed 50§
Cryogonal:Cryogonal(615), Ice Type, HP 80, Attack 50, Defense 50, Sp. Attack 95, Sp. Defense 135, Speed 105§
Shelmet:Shelmet(616), Bug Type, HP 50, Attack 40, Defense 85, Sp. Attack 40, Sp. Defense 65, Speed 25§
Accelgor:Accelgor(617), Bug Type, HP 80, Attack 70, Defense 40, Sp. Attack 100, Sp. Defense 60, Speed 145§
Stunfisk:Stunfisk(618), Ground/Electric Type, HP 109, Attack 66, Defense 84, Sp. Attack 81, Sp. Defense 99, Speed 32§
Mienfoo:Mienfoo(619), Fighting Type, HP 45, Attack 85, Defense 50, Sp. Attack 55, Sp. Defense 50, Speed 65§
Mienshao:Mienshao(620), Fighting Type, HP 65, Attack 125, Defense 60, Sp. Attack 95, Sp. Defense 60, Speed 105§
Druddigon:Druddigon(621), Dragon Type, HP 77, Attack 120, Defense 90, Sp. Attack 60, Sp. Defense 90, Speed 48§
Golett:Golett(622), Ground/Ghost Type, HP 59, Attack 74, Defense 50, Sp. Attack 35, Sp. Defense 50, Speed 35§
Golurk:Golurk(623), Ground/Ghost Type, HP 89, Attack 124, Defense 80, Sp. Attack 55, Sp. Defense 80, Speed 55§
Pawniard:Pawniard(624), Dark/Steel Type, HP 45, Attack 85, Defense 70, Sp. Attack 40, Sp. Defense 40, Speed 60§
Bisharp:Bisharp(625), Dark/Steel Type, HP 65, Attack 125, Defense 100, Sp. Attack 60, Sp. Defense 70, Speed 70§
Bouffalant:Bouffalant(626), Normal Type, HP 95, Attack 110, Defense 95, Sp. Attack 40, Sp. Defense 95, Speed 55§
Rufflet:Rufflet(627), Normal/Flying Type, HP 70, Attack 83, Defense 50, Sp. Attack 37, Sp. Defense 50, Speed 60§
Braviary:Braviary(628), Normal/Flying Type, HP 100, Attack 123, Defense 75, Sp. Attack 57, Sp. Defense 75, Speed 80§
Vullaby:Vullaby(629), Dark/Flying Type, HP 70, Attack 55, Defense 75, Sp. Attack 45, Sp. Defense 65, Speed 60§
Mandibuzz:Mandibuzz(630), Dark/Flying Type, HP 110, Attack 65, Defense 105, Sp. Attack 55, Sp. Defense 95, Speed 80§
Heatmor:Heatmor(631), Fire Type, HP 85, Attack 97, Defense 66, Sp. Attack 105, Sp. Defense 66, Speed 65§
Durant:Durant(632), Bug/Steel Type, HP 58, Attack 109, Defense 112, Sp. Attack 48, Sp. Defense 48, Speed 109§
Deino:Deino(633), Dark/Dragon Type, HP 52, Attack 65, Defense 50, Sp. Attack 45, Sp. Defense 50, Speed 38§
Zweilous:Zweilous(634), Dark/Dragon Type, HP 72, Attack 85, Defense 70, Sp. Attack 65, Sp. Defense 70, Speed 58§
Hydreigon:Hydreigon(635), Dark/Dragon Type, HP 92, Attack 105, Defense 90, Sp. Attack 125, Sp. Defense 90, Speed 98§
Larvesta:Larvesta(636), Bug/Fire Type, HP 55, Attack 85, Defense 55, Sp. Attack 50, Sp. Defense 55, Speed 60§
Volcarona:Volcarona(637), Bug/Fire Type, HP 85, Attack 60, Defense 65, Sp. Attack 135, Sp. Defense 105, Speed 100§
Cobalion:Cobalion(638), Steel/Fighting Type, HP 91, Attack 90, Defense 129, Sp. Attack 90, Sp. Defense 72, Speed 108§
Terrakion:Terrakion(639), Rock/Fighting Type, HP 91, Attack 129, Defense 90, Sp. Attack 72, Sp. Defense 90, Speed 108§
Virizion:Virizion(640), Grass/Fighting Type, HP 91, Attack 90, Defense 72, Sp. Attack 90, Sp. Defense 129, Speed 108§
Tornadus:Tornadus(641), Flying Type, HP 79, Attack 115, Defense 70, Sp. Attack 125, Sp. Defense 80, Speed 111§
Thundurus:Thundurus(642), Electric/Flying Type, HP 79, Attack 115, Defense 70, Sp. Attack 125, Sp. Defense 80, Speed 111§
Reshiram:Reshiram(643), Dragon/Fire Type, HP 100, Attack 120, Defense 100, Sp. Attack 150, Sp. Defense 120, Speed 90§
Zekrom:Zekrom(644), Dragon/Electric Type, HP 100, Attack 150, Defense 120, Sp. Attack 120, Sp. Defense 100, Speed 90§
Landorus:Landorus(645), Ground/Flying Type, HP 89, Attack 125, Defense 90, Sp. Attack 115, Sp. Defense 80, Speed 101§
Kyurem:Kyurem(646), Dragon/Ice Type, HP 125, Attack 130, Defense 90, Sp. Attack 130, Sp. Defense 90, Speed 95§
Keldeo:Keldeo(647), Water/Fighting Type, HP 91, Attack 72, Defense 90, Sp. Attack 129, Sp. Defense 90, Speed 108§
Meloetta:Meloetta(648), Normal/Psychic Type, HP 100, Attack 77, Defense 77, Sp. Attack 128, Sp. Defense 128, Speed 90§
Genesect:Genesect(649), Bug/Steel Type, HP 71, Attack 120, Defense 95, Sp. Attack 120, Sp. Defense 95, Speed 99§
Chespin:Chespin(650), Grass Type, HP 56, Attack 61, Defense 65, Sp. Attack 48, Sp. Defense 45, Speed 38§
Quilladin:Quilladin(651), Grass Type, HP 61, Attack 78, Defense 95, Sp. Attack 56, Sp. Defense 58, Speed 57§
Chesnaught:Chesnaught(652), Grass/Fighting Type, HP 88, Attack 107, Defense 122, Sp. Attack 74, Sp. Defense 75, Speed 64§
Fennekin:Fennekin(653), Fire Type, HP 40, Attack 45, Defense 40, Sp. Attack 62, Sp. Defense 60, Speed 60§
Braixen:Braixen(654), Fire Type, HP 59, Attack 59, Defense 58, Sp. Attack 90, Sp. Defense 70, Speed 73§
Delphox:Delphox(655), Fire/Psychic Type, HP 75, Attack 69, Defense 72, Sp. Attack 114, Sp. Defense 100, Speed 104§
Froakie:Froakie(656), Water Type, HP 41, Attack 56, Defense 40, Sp. Attack 62, Sp. Defense 44, Speed 71§
Frogadier:Frogadier(657), Water Type, HP 54, Attack 63, Defense 52, Sp. Attack 83, Sp. Defense 56, Speed 97§
Greninja:Greninja(658), Water/Dark Type, HP 72, Attack 95, Defense 67, Sp. Attack 103, Sp. Defense 71, Speed 122§
Bunnelby:Bunnelby(659), Normal Type, HP 38, Attack 36, Defense 38, Sp. Attack 32, Sp. Defense 36, Speed 57§
Diggersby:Diggersby(660), Normal/Ground Type, HP 85, Attack 56, Defense 77, Sp. Attack 50, Sp. Defense 77, Speed 78§
Fletchling:Fletchling(661), Normal/Flying Type, HP 45, Attack 50, Defense 43, Sp. Attack 40, Sp. Defense 38, Speed 62§
Fletchinder:Fletchinder(662), Fire/Flying Type, HP 62, Attack 73, Defense 55, Sp. Attack 56, Sp. Defense 52, Speed 84§
Talonflame:Talonflame(663), Fire/Flying Type, HP 78, Attack 81, Defense 71, Sp. Attack 74, Sp. Defense 69, Speed 126§
Scatterbug:Scatterbug(664), Bug Type, HP 38, Attack 35, Defense 40, Sp. Attack 27, Sp. Defense 25, Speed 35§
Spewpa:Spewpa(665), Bug Type, HP 45, Attack 22, Defense 60, Sp. Attack 27, Sp. Defense 30, Speed 29§
Vivillon:Vivillon(666), Bug/Flying Type, HP 80, Attack 52, Defense 50, Sp. Attack 90, Sp. Defense 50, Speed 89§
Litleo:Litleo(667), Fire/Normal Type, HP 62, Attack 50, Defense 58, Sp. Attack 73, Sp. Defense 54, Speed 72§
Pyroar:Pyroar(668), Fire/Normal Type, HP 86, Attack 68, Defense 72, Sp. Attack 109, Sp. Defense 66, Speed 106§
Flabébé:Flabébé(669), Fairy Type, HP 44, Attack 38, Defense 39, Sp. Attack 61, Sp. Defense 79, Speed 42§
Floette:Floette(670), Fairy Type, HP 54, Attack 45, Defense 47, Sp. Attack 75, Sp. Defense 98, Speed 52§
Florges:Florges(671), Fairy Type, HP 78, Attack 65, Defense 68, Sp. Attack 112, Sp. Defense 154, Speed 75§
Skiddo:Skiddo(672), Grass Type, HP 66, Attack 65, Defense 48, Sp. Attack 62, Sp. Defense 57, Speed 52§
Gogoat:Gogoat(673), Grass Type, HP 123, Attack 100, Defense 62, Sp. Attack 97, Sp. Defense 81, Speed 68§
Pancham:Pancham(674), Fighting Type, HP 67, Attack 82, Defense 62, Sp. Attack 46, Sp. Defense 48, Speed 43§
Pangoro:Pangoro(675), Fighting/Dark Type, HP 95, Attack 124, Defense 78, Sp. Attack 69, Sp. Defense 71, Speed 58§
Furfrou:Furfrou(676), Normal Type, HP 75, Attack 80, Defense 60, Sp. Attack 65, Sp. Defense 90, Speed 102§
Espurr:Espurr(677), Psychic Type, HP 62, Attack 48, Defense 54, Sp. Attack 63, Sp. Defense 60, Speed 68§
Meowstic:Meowstic(678), Psychic Type, HP 74, Attack 48, Defense 76, Sp. Attack 83, Sp. Defense 81, Speed 104§
Honedge:Honedge(679), Steel/Ghost Type, HP 45, Attack 80, Defense 100, Sp. Attack 35, Sp. Defense 37, Speed 28§
Doublade:Doublade(680), Steel/Ghost Type, HP 59, Attack 110, Defense 150, Sp. Attack 45, Sp. Defense 49, Speed 35§
Aegislash:Aegislash(681), Steel/Ghost Type, HP 60, Attack 50, Defense 140, Sp. Attack 50, Sp. Defense 140, Speed 60§
Spritzee:Spritzee(682), Fairy Type, HP 78, Attack 52, Defense 60, Sp. Attack 63, Sp. Defense 65, Speed 23§
Aromatisse:Aromatisse(683), Fairy Type, HP 101, Attack 72, Defense 72, Sp. Attack 99, Sp. Defense 89, Speed 29§
