Bulbasaur: フシギダネ (fushigidane)§
Klefki: クレッフィ (kureffyi)§
Phantump: ボクレー (bokure-)§
Trevenant: オーロット (o-rotto)§
Pumpkaboo: バケッチャ (baketcha)§
Gourgeist: パンプジン (panpujin)§
Bergmite: カチコール (kachiko-ru)§
Avalugg: クレベース (kurebe-su)§
Noibat: オンバット (onbatto)§
Noivern: オンバーン (onba-n)§
Xerneas: ゼルネアス (zeruneasu)§
Yveltal: イベルタル (iberutaru)§
Zygarde: ジガルデ (jigarude)§
Diancie: ヂィアンシー (dyianshi-)§
Hoopa: フーパ (fu-pa)§
Volcanion: ボルケニオン (borukenion)§
Rowlet: モクロー (mokuro-)§
Dartrix: フクスロー (Fukusuro-)§
Decidueye: ジュナイパー (junaipa-)§
Litten: ニャビー (nyabi-)§
Torracat: ニャヒート (nyahi-to)§
Incineroar: ガオガエン (gaogaen)§
Popplio: アシマリ (ashiMari)§
Brionne: オシャマリ (oshamari)§
Primarina: アシレーヌ (ashire-nu)§
Pikipek: ツツケラ (tsutsukera)§
Trumbeak: ケララッパ (kerarappa)§
Toucannon: ドデカバシ (dodekabashi)§
Yungoos: ヤングース (yangu-su)§
Gumchoos: デカグース (dekagu-su)§
Grubbin: アゴジムシ (agojimushi)§
Charjabug: デンジムシ (denjimushi)§
Vikavolt: クワガノン (kuwaganon)§
Crabrawler: マケンカニ (makenkani)§
Crabominable: ケケンカニ (kekenkani)§
Oricorio: オドリドリ (odoridori)§
Cutiefly: アブリー (aburi-)§
Ribombee: アブリボン (aburibon)§
Rockruff: イワンコ (iwanko)§
Lycanroc: ルガルガン (rugarugan)§
Wishiwashi: ヨワシ (Yowashi)§
Mareanie: ヒドイデ (hidoide)§
Toxapex: ドヒドイデ (dohidoide)§
Mudbray: ドロバンコ (dorobanko)§
Mudsdale: バンバドロ (banbadoro)§
Dewpider: シズクモ (Shizukumo)§
Araquanid: オニシズクモ (onishizukumo)§
Fomantis: カリキリ (karikiri)§
Lurantis: ラランテス (rarantesu)§
Morelull: ネマシュ (nemashu)§
Shiinotic: マシェード (mashe-do)§
Salandit: ヤトウモリ (yatoumori)§
Salazzle: エンニュート (ennyu-to)§
Stufful: ヌイコグマ (nuikoguma)§
Bewear: キテルグマ (kiteruguma)§
Bounsweet: アマカジ (amakaji)§
Steenee: アママイコ (amamaiko)§
Tsareena: アマージョ (ama-jo)§
Comfey: キュワワー (kyuwawa-)§
Oranguru: ヤレユータン (yareyu-tan)§
Passimian: ナゲツケサル (nagetsukesaru)§
Wimpod: コソクムシ (kosokumushi)§
Golisopod: グソクムシャ (gusokumusha)§
Sandygast: スナバァ (sunabaa)§
Palosand: シロデスナ (shirodesuna)§
Pyukumuku: ナマコブシ (namakobushi)§
TypeNull: タイプ：ヌル (taipunuru)§
Silvally: シルヴァヂィ (shirvadyi)§
Minior: メテノ (meteno)§
Komala: ネッコアラ (nekkoara)§
Turtonator: バクガメス (bakugamesu)§
Togedemaru: トゲデマル (togedemaru)§
Mimikyu: ミミッキュ (mimikkyu)§
Bruxish: ハギギシリ (hagigishiri)§
Drampa: ジジーロン (jiji-ron)§
Dhelmise: ダダリン (Dadarin)§
Jangmo-o: ジャラコ (jarako)§
Hakamo-o: ジャランゴ (jarango)§
Kommo-o: ジャラランガ (jararanga)§
TapuKoko: カプ・コケコ (kapukokeko)§
TapuLele: カプ・テテフ (kaputetefu)§
TapuBulu: カプ・ブルル (kapubururu)§
TapuFini: カプ・レヒレ (kapurehire)§
Cosmog: コスモッグ (kosumoggu)§
Cosmoem: コスモウム (kosumoumu)§
Solgaleo: ソルガレオ (sorugareo)§
Lunala: ルナアーラ (runaa-ra)§
Nihilego: ウツロイド (utsuroido)§
Buzzwole: マッシブーン (MasshiBu-n)§
Pheromosa: フェローチェ (fyero-tye)§
Xurkitree: デンジュモク (denjumoku)§
Celesteela: テッカグヤ (tekkaguya)§
Kartana: カミツルギ (kamitsurugi)§
Guzzlord: アクジキング (akujikingu)§
Necrozma: ネクロスマ (nekurosuma)§
Magearna: マギアナ (magiana)§
Marshadow: マーシャドー (ma-shado-)§
Poipole: ベベノム (bebenomu)§
Naganadel: アーゴヨン (a-goyon)§
Stakataka: ツンデツンデ (tsundetsunde)§
Blacephalon: ズガドーン (zugado-n)§
Zeraora: ゼラオラ (zeraora)§
Meltan: メルタン (merutan)§
Melmetal: メルメタル (merumetaru)§
Grookey: サルノリ (sarunori)§
Thwakey: バチンキー (bachinki-)§
Rillaboom: ゴリランダー (goriranda-)§
Scorbunny: ヒバニー (hibani-)§
Raboot: ラビフット (rabifutto)§
Cinderace: エースバーン (e-suba-n)§
Sobble: メッソン (messon)§
Drizzile: ジメレオン (jimereon)§
Inteleon: インテレオン (intereon)§
Skowvet: ホシガリス (hoshigarisu)§
Greedent: ヨクバリス (yokubarisu)§
Rookidee: ココガラ (kokogara)§
Corvisquire: アオガラス (aogarasu)§
Corviknight: アーマーガア (a-ma-gaa)§
Blipbug: サッチミシ (satchimishi)§
Dottler: レドームシ (redo-mushi)§
Orbeetle: イオルブ (iorubu)§
Nickit: クスネ (kusune)§
Thievul: フォクスライ (fuxokusurai)§
Gossifleur: ヒメンカ (himenka)§
Eldegoss: ワタシラガ (watashiraga)§
Wooloo: ウールー (U-Ru-)§
Dubwool: バイウールー (baiu-ru-)§
Chewtle: カムカメ (kamukame)§
Drednaw: カジリガメ (kajirigame)§
Yamper: ワンパチ (wanpachi)§
Boltund: パルスワン (Parusuwan)§
Rolycoly: タンドン (TanDon)§
Carkol: トロッゴン (toroggon)§
Coalossal: セキタンザン (sekitanzan)§
Applin: カジッチュ (kajitchu)§
Flapple: アップリュー (appuryu-)§
Appletun: タルップル (taruppuru)§
Silicobra: スナヘビ (sunahebi)§
Sandaconda: サダイジャ (sadaija)§
Cramorant: ウッウ (uuu)§
Arrokuda: サシカマス (sashikamasu)§
Barraskewda: カマスジョー (kamasuJo-)§
Toxel: エレゼン (erezen)§
Toxtricity: ストリンダー (sutorinda-)§
Sizzlipede: ヤクデ (yakude)§
Centiskorch: マルヤクデ (maruyakude)§
Clobbopus: タタッコ (tatakko)§
Grapploct: オトスパス (otosupasu)§
Sinistea: ヤバチャ (yabacha)§
Polteageist: ポットデス (pottodesu)§
Hatenna: ミブリム (miburimu)§
Hattrem: テブリム (teburimu)§
Hatterene: ブリムオン (burimuon)§
Impidimp: ベロバー (beroba-)§
Morgrem: ギモー (gimo-)§
Grimmsnarl: オーロンゲ (o-Ronge)§
Obstagoon: タチフサグマ (tachifusaguma)§
Perrserker: ニャイキング (nyaikingu)§
Cursola: サニゴーン (sanigo-n)§
Sirfetchd: ネギガナイト (negiganaito)§
Mr.Rime: バリコオル (barikooru)§
Runerigus: デスバーン (desuba-n)§
Milcery: マホミル (mahomiru)§
Alcremie: マホイップ (mahoippu)§
Falinks: タイレーツ (taire-tsu)§
Pinchurchin: バチンウニ (bachin uni)§
Snom: ユキハミ (yukihami)§
Frosmoth: モスノウ (mosunou)§
Stonjourner: イシヘンジン (ishihenjin)§
Eiscue: コオリッポ (koorippo)§
Indeedee: イエッサン (iessan)§
Morpeko: モモルペコ (momorupeko)§
Cufant: ゾウドウ (zoudou)§
Copperajah: ダイオウドウ (daioudou)§
Dracozolt: パッチラゴン (patchiragon)§
Arctozolt: パッチルドン (patchirudon)§
Dracovish: ウオノラゴン (uonoragon)§
Arctovish: ウオノルドン (uonorudon)§
Duraludon: ジュラルドン (jurarudon)§
Dreepy: ドラメシヤ (dorameshiya)§
Drakloak: ドロンチ (doronchi)§
Dragapult: ドラパルト (doraparuto)§
Zacian: ザシアン (zashian)§
Zamazanta: ザマゼンタ (zamazenta)§
Eternatus: ムゲンダイナ (mugendaina)§
Kubfu: ダクマ (dakuma)§
Urshifu: ウーラオス (U-Raosu)§
Zarude: ザルード (zaru-do)§
Regieleki: レジイレキ (rejiireki)§
Regidrago: レジドラゴ (rejidorago)§
Glastrier: ブラザポス (burazaposu)§
Spectrier: ライスポス (raisuposu)§
Calyrex: バドレックス (badorekkusu)§
Wyrdeer: アヤシシ (ayashishi)§
Kleavor: バサギリ (basagiri)§
Ursaluna: ガチグマ (gachiguma)§
Basculegion: イヤイトウ (iyaitou)§
Sneasler: オオニューラ (oonyu-ra)§
Overqwil: ハリーマン (Hari-man)§
Enamorus: ラブトロス (rabutorosu)§
Sprigatito: ニャオハ (nyaoha)§
Floragato: ニャローテ (nyaro-te)§
Meowscarda: マスカーニャ (masuka-nya)§
Fuecoco: ホゲータ (hoge-ta)§
Crocalor: アチゲータ (achige-ta)§
Skeledirge: ラウドボーン (raudobo-n)§
Quaxly: クワッス (kuwassu)§
Quaxwell: ウェルカモ (wherukamo)§
Quaquavel: ウェーニバル (whe-nibaru)§
Lechonk: グルトン (guruton)§
Oinkologne: パフュートン (pafyu-ton)§
Tarountula: タマンチュラ (tamanchura)§
Spidops: ワナイダー (wanaida-)§
Nymble: マメバッタ (mamebatta)§
Lokix: エクスレッグ (ekusureggu)§
Pawmi: パモ (pamo)§
Pawmo: パモット (pamotto)§
Pawmot: パーモット (pa-motto)§
Tandemaus: ワッカネズミ (wakkanezumi)§
Maushold: イッカネズミ (ikkanezumi)§
Fidough: パピモッチ (papimotchi)§
Dachsbun: バウッツエル (bauttsueru)§
Smoliv: ミニーブ (mini-bu)§
Dolliv: オリーニョ (ori-nyo)§
Arboliva: オリーヴァ (ori-va)§
Squawkabilly: イキリンコ (ikirinko)§
Nacli: コジオ (kojio)§
Naclstack: ジオヅム (jiozumu)§
Garganacl: キョジオーン (kyojio-n)§
Charcadet: カルボウ (karubou)§
Armarouge: グレンアルマ (guren aruma)§
Ceruledge: ソウブレイズ (soubureizu)§
Tadbulb: ズピカ (zupika)§
Bellibolt: ハラバリー (HaraBari-)§
Wattrel: カイデン (kaiden)§
Kilowattrel: タイカイデン (taikaiden)§
Maschiff: オラチフ (orachifu)§
Mabosstiff: マフィティフ (mafyithifu)§
Shroodle: シルシュルー (shirushuru-)§
Grafaiai: タギングル (taginguru)§
Bramblin: アノクサ (anokusa)§
Brambleghast: アノホラグサ (anohoragusa)§
Toedscool: ノノクラゲ (nonokurage)§
Toadscruel: リククラゲ (rikukurage)§
Klawf: ガケガニ (gakegani)§
Capsakid: カプサイジ (kapusaiji)§
Scovillain: スコヴィラン (sukoxiran)§
Rellor: シガロコ (shigaroko)§
Rabsca: ベラカス (BeraKasu)§
Flittle: ヒラヒナ (hirahina)§
Espathra: クエスパトラ (kuesupatora)§
Tinkatink: カヌチャン (kanuchan)§
Tinkatuff: ナカヌチャン (nakanuchan)§
Tinkaton: デカヌチャン (dekanuchan)§
Wiglett: ウミヂィグダ (umidyiguda)§
Wugtrio: ウミトリオ (umitorio)§
Bombirdier: オトシドリ (otoshidori)§
Finizen: ナミイルカ (Namiiruka)§
Palafin: イルカマン (irukaman)§
Varoom: ブロロン (buroron)§
Revavroom: ブロロローム (burororo-mu)§
Cyclizar: モトトカゲ (Mototokage)§
Orthworm: ミミズズ (mimizuzu)§
Glimmet: キラーメ (kira-me)§
Glimmora: キラフロル (kirafuroru)§
Greavard: ボチ (bochi)§
Houndstone: ハカドッグ (hakadoggu)§
Flamigo: カラミンゴ (karamingo)§
Cetoddle: アルクジラ (Arukujira)§
Cetitan: ハルクジラ (Harukujira)§
Veluza: ミミガルーサ (mimigaru-sa)§
Dondozo: ヘイラッシャ (heirassha)§
Tatsugiri: シャリタツ (sharitatsu)§
Annihilape: コノヨザル (konoyozaru)§
Clodsire: ドオー (doo-)§
Farigiraf: リキキリン (Rikikirin)§
Dudunsparce: ノココッチ (nokokotchi)§
Kingambit: ドドゲザン (dodogezan)§
GreatTusk: イダイナキバ (idainakiba)§
ScreamTail: サケブシッポ (sakebushippo)§
BruteBonnet: アラブルタケ (Araburutake)§
FlutterMane: ハバタクカミ (habatakukami)§
SlitherWing: チヲハウハネ (chiwohauhane)§
SandyShocks: スナノケガワ (sunanokegawa)§
IronTreads: テツノワダチ (tetsunowadachi)§
IronBundle: テツノツツミ (tetsunotsutsumi)§
IronHands: テツノカイナ (tetsunokaina)§
IronJugulis: テツノコウベ (tetsunokoube)§
IronMoth: テツノドクガ (Tetsunodokuga)§
IronThorns: テツノイバラ (Tetsunoibara)§
Frigibax: セビエ (sebie)§
Arctibax: セゴール (sego-ru)§
Baxcalibur: セグレイブ (segureibu)§
Gimmighoul: コレクレー (korekure-)§
Gholdengo: サーフゴー (sa-fugo-)§
Wo-Chien: チオンジェン (chionjyen)§
Chien-Pao: パオジアン (paojian)§
Ting-Lu: ディンルー (DhinRu-)§
Chi-Yu: イーユイ (i-yui)§
RoaringMoon: トドロクツキ (todorokutsuki)§
IronValiant: テツノブジン (tetsunobujin)§
Koraidon: コライドン (koraidon)§
Miraidon: ミライドン (miraidon)§
WalkingWake: ウネルミナモ (uneruminamo)§
IronLeaves: テツノイサハ (tetsunoisaha)§
bulbasaur: フシギダネ (fushigidane)§
ivysaur: フシギソウ (fushigisou)§
venusaur: フシギバナ (fushigibana)§
charmander: ヒトカゲ (hitokage)§
charmeleon: リザード (riza-do)§
charizard: リザードン (riza-don)§
squirtle: ゼニガメ (zenigame)§
wartortle: カメール (kame-ru)§
blastoise: カメックス (kamekkusu)§
caterpie: キャタピー (kyatapi-)§
metapod: トランセル (toranseru)§
butterfree: バタフリー (batafuri-)§
weedle: ビードル (bi-doru)§
kakuna: コクーン (koku-n)§
beedrill: スピアー (supia-)§
pidgey: ポッポ (poppo)§
pidgeotto: ピジョン (pijon)§
pidgeot: ピジョット (pijotto)§
ratatta: コラッタ (koratta)§
raticate: ラッタ (ratta)§
spearow: オニスズメ (onisuzume)§
fearow: オニドリル (onidoriru)§
ekans: アーボ (a-bo)§
arbok: アーボック (a-bokku)§
pikachu: ピカチュウ (pikachū)§
raichu: ライチュウ (raichū)§
sandshrew: サンド (sando)§
sandslash: サンドパン (sandopan)§
nidoran: ニドラン (nidoran)§
nidorina: ニドリーナ (nidori-na)§
nidoqueen: ニドクイン (nidokuin)§
nidorino: ニドリーノ (nidori-no)§
nidoking: ニドキング (nidokingu)§
clefairy: ピッピ (pippi)§
clefable: ピクシー (pikushi-)§
vulpix: ロコン (rokon)§
ninetales: キュウコン (kyūkon)§
jigglypuff: プリン (purin)§
wigglytuff: プクリン (pukurin)§
zubat: ズバット (zubatto)§
golbat: ゴルバット (gorubatto)§
oddish: ナゾノクサ (nazonokusa)§
gloom: クサイハナ (kusaihana)§
vileplume: ラフレシア (rafureshia)§
paras: パラス (parasu)§
parasect: パラセクト (parasekuto)§
venonat: コンパン (konpan)§
venomoth: モルフォン (morufuxon)§
diglett: ヂィグダ (dyiguda)§
dugtrio: ダグトリオ (dagutorio)§
meowth: ニャース (nya-su)§
persian: ペルシアン (perushian)§
psyduck: コダック (kodakku)§
golduck: ゴルダック (gorudakku)§
mankey: マンキー (manki-)§
primape: オコリザル (okorizaru)§
growlithe: ガーヂィ (ga-dyi)§
arcanine: ウインヂィ (uindyi)§
poliwag: ニョロモ (nyoromo)§
poliwhirl: ニョロゾ (nyorozo)§
poliwrath: ニョロボン (nyorobon)§
abra: ケーシィ (ke-syi)§
kadabra: ユンゲラー (yungera-)§
alakazam: フーヂィン (fu-dyin)§
machop: ワンリキー (wanriki-)§
machoke: ゴーリキー (go-riki-)§
machamp: カイリキー (kairiki-)§
bellsprout: マダツボミ (madatsubomi)§
weepinbell: ウツドン (utsudon)§
victreebel: ウツボット (utsubotto)§
tentacool: メノクラゲ (menokurage)§
tentacruel: ドククラゲ (dokukurage)§
geodude: イシツブテ (ishitsubute)§
graveler: ゴローン (goro-n)§
golem: ゴローニャ (goro-nya)§
ponyta: ポニータ (poni-ta)§
rapidash: ギャロップ (gyaroppu)§
slowpoke: ヤドン (yadon)§
slowbro: ヤドラン (yadoran)§
magnemite: コイル (koiru)§
magneton: レアコイル (reakoiru)§
farfetchd: カモネギ (kamonegi)§
doduo: ドードー (do-do-)§
dodrio: ドードリオ (do-dorio)§
seel: パウワウ (pauwau)§
dewgong: ジュゴン (jugon)§
grimer: ベトベター (betobeta-)§
muk: ベトベトン (betobeton)§
shellder: シェルダー (sheruda-)§
cloyster: パルシェン (parushen)§
gastly: ゴース (go-su)§
haunter: ゴースト (go-suto)§
gengar: ゲンガー (genga-)§
onix: イワーク (iwa-ku)§
drowzee: スリープ (suri-pu)§
hypno: スリーパー (suri-pa-)§
krabby: クラブ (kurabu)§
kingler: キングラー (kingura-)§
voltorb: ビリリダマ (biriridama)§
electrode: マルマリン (marumarin)§
exeggcute: タマタマ (tamatama)§
exeggutor: ナッシー (nasshi-)§
cubone: カラカラ (karakara)§
marowak: ガラガラ (garagara)§
hitmonlee: サワムラー (sawamura-)§
hitmonchan: エビワラー (ebiwara-)§
lickitung: ベロリンガ (beroringa)§
koffing: ドガース (doga-su)§
weezing: マタドカース (matadoka-su)§
rhyhorn: サイホーン (saiho-n)§
rhydon: サイドン (saidon)§
chansey: ラッキ (rakki)§
tangela: モンジャラ (monjara)§
kangaskhan: ガルーラ (garu-ra)§
horsea: タッツー (tattsu-)§
seadra: シードラ (shi-dora)§
goldeen: トサキント (tosakinto)§
seaking: アズマオウ (azumaou)§
staryu: ヒトデマン (hitodeman)§
starmie: スターミー (suta-mi-)§
mr.mime: バリヤード (bariya-do)§
scyther: ストライク (sutoraiku)§
jynx: ルージュラ (ru-jura)§
electabuzz: エレブー (erebu-)§
magmar: ブーバー (bu-ba-)§
pinisir: カイロス (kairosu)§
tauros: ケンタロス (kentarosu)§
magikarp: コイキング (koikingu)§
gyrados: ギャラドス (gyaradosu)§
lapras: ラプラス (rapurasu)§
ditto: メタモン (metamon)§
eevee: イーブイ (i-bui)§
vaporeon: シャワーズ (shawa-zu)§
jolteon: サンダース (sanda-su)§
flareon: ブースター (bu-suta-)§
porygon: ポリゴン (porigon)§
omanyte: オムナイト (omunaito)§
omastar: オムスター (omusuta-)§
kabuto: カブト (kabuto)§
kabutops: カブトプス (kabutopusu)§
aerodactyl: プテラ (putera)§
snorlax: カビゴン (kabigon)§
articuno: フリーザー (furi-za-)§
zapdos: サンダー (sanda-)§
moltres: ファイヤー (faiya-)§
dratini: ミニリュウ (miniryū)§
dragonair: ハクリュウ (hakuryū)§
dragonite: カイリュウ (kairyū)§
mewtwo: ミュウツー (myūtsu-)§
mew: ミュウ (myū)§
chikorita: チコリータ (chikori-ta)§
bayleef: ベイリーフ (beiri-fu)§
meganium: メガニウム (meganiumu)§
cyndaquil: ヒノアラシ (hinoarashi)§
quilava: マグマラシ (magumarashi)§
typhlosion: バクフーン (bakufu-n)§
totodile: ワニノコ (waninoko)§
croconaw: アリゲイツ (arigeitsu)§
feraligatr: オーダイル (o-dairu)§
sentret: オタチ (otachi)§
furret: オオタチ (ootachi)§
hoothoot: ホホーホー (hoho-ho-)§
noctowl: ヨルノズク (yorunozuku)§
ledyba: レヂィバ (redyiba)§
ledian: レヂィアン (redyian)§
spinarak: イトマル (itomaru)§
ariados: アリアドス (ariadosu)§
crobat: クロバット (kurobatto)§
chinchou: チョンチー (chonchi-)§
lanturn: ランターン (ranta-n)§
pichu: ピチュウ (pichū)§
cleffa: ピィ (pyi)§
igglybuff: ププリン (pupurin)§
togepi: トゲピー (togepi-)§
togetic: トゲチック (togechikku)§
natu: ネイチィ (neityi)§
xatu: ネイチィオ (neityio)§
mareep: メリープ (meri-pu)§
flaaffy: モココ (mokoko)§
ampharos: デンリュウ (denryū)§
bellossom: キレイハナ (kireihana)§
marill: マリル (mariru)§
azumarill: マリルリ (mariruri)§
sudowoodo: ウソッキー (usokki-)§
politoed: ニョロトノ (nyorotono)§
hoppip: ハネッコ (hanekko)§
skiploom: ポポッコ (popokko)§
jumpluff: ワタッコ (watakko)§
aipom: エイパム (eipamu)§
sunkern: ヒマナッツ (himanattsu)§
sunflora: キミワリ (kimiwari)§
yanma: ヤンヤンマ (yanyanma)§
wooper: ウパー (upa-)§
quagsire: ヌオー (nuo-)§
espeon: エーフィ (e-fyi)§
umbreon: ブラッキー (burakki-)§
murkrow: ヤミカラス (yamikarasu)§
slowking: ヤドキング (yadokingu)§
misdreavus: ムウマ (muuma)§
unown: アンノーン (anno-n)§
wobbuffet: ソーナンス (so-nansu)§
girafarig: キリンリキ (kirinriki)§
pineco: クヌギダマ (kunugidama)§
forretress: フォレトス (fuxoretosu)§
dunsparce: ノコッチ (nokotchi)§
gligar: グライガー (guraiga-)§
steelix: ハガネール (hagane-ru)§
snubbull: ブルー (buru-)§
granbull: グランブル (guranburu)§
qwilfish: ハリーセン (hari-sen)§
scizor: ハッサム (hasamu)§
shuckle: ツボツボ (tsubotsubo)§
heracross: ヘラクロス (herakurosu)§
sneasel: ニューラ (nyu-ra)§
teddiursa: ヒメグマ (himeguma)§
ursaring: リングマ (ringuma)§
slugma: マグマッグ (magumaggu)§
magcargo: マグカルゴ (magukarugo)§
swinub: ウリムー (urimu-)§
piloswine: イノムー (inomu-)§
corsola: サニーゴ (sani-go)§
remoraid: テッポウオ (teppouo)§
octillery: オクタン (okutan)§
delibird: デリバード (deriba-do)§
mantine: マンタイン (mantain)§
skarmory: エアームド (ea-mudo)§
houndoor: デルビル (derubiru)§
houndoom: ヘルガー (heruga-)§
kingdra: キングドラ (kingudora)§
phanpy: ゴマゾウ (gomazō)§
donphan: ドンファン (donfan)§
porygon2: ポリゴン２ (porigonni)§
stantler: オドシシ (odoshishi)§
smeargle: ドーブル (do-buru)§
tyrogue: バルキー (baruki-)§
hitmontop: カポエラー (kapoera-)§
smoochum: ムチュール (muchu-ru)§
elekid: エレキッド (erekiddo)§
magby: ブビィ (bubyi)§
miltank: ミルタンク (mirutanku)§
blissey: ハピナス (hapinasu)§
raikou: ライコウ (raikō)§
entei: エンテイ (entei)§
suicune: スイクン (suikun)§
larvitar: ヨーギラス (yo-girasu)§
pupitar: サナギラス (sanagirasu)§
tyranitar: バンギラス (bangirasu)§
lugia: ルギア (rugia)§
ho-oh: ホウオウ (houou)§
celebi: セリビィ (seribyi)§
treecko: キモリ (kimori)§
grovyle: ジュプトル (juputoru)§
sceptile: ジュカイン (jukain)§
torchic: アチャモ (achamo)§
combusken: ワカシャモ (wakashamo)§
blaziken: バシャーモ (basha-mo)§
mudkip: ミズゴロウ (mizugorou)§
marshtomp: ヌマクロー (numakuro-)§
swampert: ラグラージ (ragura-ji)§
poochyena: ポチエナ (pochiena)§
mightyena: グラエナ (guraena)§
zigzagoon: ジグザグマ (jiguzaguma)§
linoone: マッスグマ (massuguma)§
wurmple: ケムッソ (kemusso)§
silcoon: カラサリス (karasarisu)§
beautifly: アゲハント (agehanto)§
cascoon: マユルド (mayurudo)§
dustox: ドクケイル (dokukeiru)§
lotad: ハスボー (hasubo-)§
lombre: ハスブレロ (hasuburero)§
ludicolo: ルンパッパ (runpappa)§
seedot: タネボー (tanebo-)§
nuzleaf: コノハナ (konohana)§
shiftry: ダーテング (da-tengu)§
tailow: スバメ (subame)§
swellow: オオスバメ (oosubame)§
wingull: キャモメ (kyamome)§
pelipper: ペリッパー (perippa-)§
ralts: ラルトス (rarutosu)§
kirlia: キルリア (kiruria)§
gardevoir: サーナイト (sa-naito)§
surskit: アメタマ (ametama)§
masquerain: アメモース (amemo-su)§
shroomish: キノココ (kinokoko)§
breloom: キノガッサ (kinogassa)§
slakoth: ナマケロ (namakero)§
vigoroth: ヤルキモノ (yarukimono)§
slaking: ケッキング (kekkingu)§
nincada: ツチニン (tsuchinin)§
ninjask: テッカニン (tekkanin)§
shedinja: ヌケニン (nukenin)§
whismur: ゴニョニョ (gonyonyo)§
loudred: ドゴーム (dogo-mu)§
exploud: バクオング (bakuongu)§
makuhita: マクノシタ (makunoshita)§
hariyama: ハリテヤマ (hariteyama)§
azurill: ルリリ (ruriri)§
nosepass: ノズパス (nozupasu)§
skitty: エネコ (eneko)§
delcatty: エネコロロ (enekororo)§
sableye: ヤミラミ (yamirami)§
mawile: クチート (kuchi-to)§
aron: ココドラ (kokodora)§
lairon: コドラ (kodora)§
aggron: バスゴドラ (basugodora)§
meditite: アサナン (asanan)§
medicham: チャーレム (cha-remu)§
electrike: ラクライ (rakurai)§
manectric: ライボルト (raiboruto)§
plusle: プラスル (purasuru)§
minum: マイナン (mainan)§
volbeat: バルビート (barubi-to)§
illumise: イルミーゼ (irumi-ze)§
roselia: ロゼリア (rozeria)§
gulpin: ゴクリン (gokurin)§
swalot: マルノーム (maruno-mu)§
carvanha: キバニア (kibania)§
sharpedo: サメハダー (samehada-)§
wailmer: ホエルコ (hoeruko)§
wailord: ホエルオー (hoeruo-)§
numel: ドンメル (donmeru)§
camerupt: バクーダ (baku-da)§
torkoal: コータス (ko-tasu)§
spoink: バネブー (banebu-)§
grumpig: ブーピッグ (bu-piggu)§
spinda: パッチール (patchi-ru)§
trapinch: ナックラー (nakkura-)§
vibrava: ビブラーバ (bibura-ba)§
flygon: フライゴン (furaigon)§
cacnea: サボネア (sabonea)§
cacturne: ノクタス (nokutasu)§
swablu: チルット (chirutto)§
altaria: チルタリス (chirutarisu)§
zangoose: ザングース (zangu-su)§
seviper: ハブネーク (habune-ku)§
lunatone: ルナトーン (runato-n)§
solrock: ソルロック (sorurokku)§
barboach: ドジョッチ (dojotchi)§
whiscash: ナマズン (namazun)§
corphish: ヘイガニ (heigani)§
crawdaunt: シザリガー (shizariga-)§
baltoy: ヤジロン (yajiron)§
claydol: ネンドール (nendo-ru)§
lileep: リリーヤ (riri-ya)§
cradily: ユレイドル (yureidoru)§
anorith: アノプス (anopusu)§
armaldo: アーマルド (a-marudo)§
feebas: ヒンバス (hinbasu)§
milotic: ミロカロス (mirokarosu)§
castform: ポワルン (powarun)§
kecleon: カクレオン (kakureon)§
shuppet: カゲボオズ (kageboozu)§
banette: ジュペッタ (jupetta)§
duskull: ヨマワル (yomawaru)§
dusclops: サマヨール (samayo-ru)§
tropius: トロピウス (toropiusu)§
chimecho: チリーン (chiri-n)§
absol: アブソル (abusoru)§
wynaut: ソーナノ (so-nano)§
snorunt: ユキワラシ (yukiwarashi)§
glalie: オニゴーリ (onigo-ri)§
spheal: タマザラシ (tamazarashi)§
sealeo: トドグラ (todogura)§
walrein: トドゼルガ (todozeruga)§
clamperl: パールル (pa-ruru)§
huntail: ハンテール (hante-ru)§
gorebyss: サクラビス (sakurabisu)§
relicanth: ジーランス (ji-ransu)§
luvdisc: ラブカス (rabukasu)§
bagon: タツベイ (tatsubei)§
shelgon: コモルー (komoru-)§
salamence: ボーマンダ (bo-manda)§
beldum: ダンバル (danbaru)§
metang: メタング (metangu)§
metagross: メタグロス (metagurosu)§
regirock: レジロック (rejirokku)§
regice: レジアイス (rejiaisu)§
registeel: レジスチル (rejisuchiru)§
latias: ラティアス (rathiasu)§
latios: ラティオス (rathiosu)§
kyogre: カイオーガ (kaio-ga)§
groudon: グラードン (gura-don)§
rayquaza: レックウザ (rekkuuza)§
jirachi: ジラーチ (jira-chi)§
deoxys: ヂオキシス (jiokishisu)§
turtwig: ナエトル (naetoru)§
grotle: ハヤシガメ (hayashigame)§
torterra: ドダイトス (dodaitosu)§
chimchar: ヒコザル (hikozaru)§
monferno: モウカザル (moukazaru)§
infernape: ゴウカザル (goukazaru)§
piplup: ポッチャマ (potchama)§
prinplup: ポッタイシ (pottaishi)§
empoleon: エンペルト (enperuto)§
starly: ムックル (mukkuru)§
staravia: ムクバード (mukuba-do)§
staraptor: ムクホーク (mukuho-ku)§
bidoof: ビッパ (bippa)§
bibarel: ビーダル (bi-daru)§
kricketot: コロボーシ (korobo-shi)§
kricketune: コロトック (korotokku)§
shinx: コリンク (korinku)§
luxio: ルクシオ (rukushio)§
luxray: レントラー (rentora-)§
budew: スボミー (subomi-)§
roserade: ロズレイド (rozureido)§
